george.bluth@reqres.in,senhageorge,produtor
janet.weaver@reqres.in,senhajanet,assistente
emma.wong@reqres.in,senhaemma,gerente
eve.holt@reqres.in,senhaeve,consultor
charles.morris@reqres.in,senhacharles,analista
tracey.ramos@reqres.in,senhatracey,arquiteto
michael.lawson@reqres.in,senhmichael,adesenvolvedor
lindsay.ferguson@reqres.in,senhlindsay,agerente-geral
tobias.funke@reqres.in,senhtobias,atecnico
byron.fields@reqres.in,senhbyron,acomercial
george.edwards@reqres.in,senhgeorge,amarketing
rachel.howell@reqres.in,senhrachel,amodelo
